Name,Price,Discount,image Link
Jacobs Kronung Instant Coffee 200g,R159.99,Smart Price: R109.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h33/h03/10940643737630/silo-product-image-v2-02Sep2022-180139-8711000509388-Straight_on-54785-313_300Wx300H
Rainbow Simply Chicken Cheese Viennas 500g,R59.99,Smart Price: R49.99,https://cdn-prd-02.pnp.co.za/sys-master/images/he8/h70/10936326717470/silo-product-image-v2-31Aug2022-180126-6001407090452-Straight_on-53341-1532_300Wx300H
PnP White Sugar 2.5kg,R51.99,Smart Price: R46.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h79/h49/11125231353886/silo-product-image-v2-16Mar2023-184207-6001007165499-Straight_on-102679-9405_300Wx300H
Smirnoff 1818 Round Vodka 750ml,R174.99,Smart Price: R154.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hb5/haf/10989629669406/silo-product-image-v2-21Oct2022-180254-6001398119545-Straight_on-67026-1664_300Wx300H
Kwv Chardonnay Classic 750ml,R80.00,Smart Price: R65.00,https://cdn-prd-02.pnp.co.za/sys-master/images/h1a/h40/10989424279582/silo-product-image-v2-21Oct2022-180231-6002323414230-Straight_on-66359-1220_300Wx300H
AIM Fan Heater,R349.99,Smart Price: R229.00,https://cdn-prd-02.pnp.co.za/sys-master/images/h14/h0f/10989012877342/silo-product-image-v2-21Oct2022-180144-6005587006111-Straight_on-64778-345_300Wx300H
Hth Floater + 1.6kg,R179.99,Smart Price: R149.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hab/h27/10890738532382/silo-product-image-v2-01Jul2022-180123-6001385001846-Straight_on-47772-4456_300Wx300H
Nescafe Ricoffy Coffee 750g,R109.99,Smart Price: R89.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h1b/hec/10770969493534/silo-product-image-v2-15Mar2022-180225-6001068323500-Straight_on-8116-18337_300Wx300H
PnP White Sugar 2.5kg,R51.99,Smart Price: R46.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h79/h49/11125231353886/silo-product-image-v2-16Mar2023-184207-6001007165499-Straight_on-102679-9405_300Wx300H
No Name IQF 15% Brine Chicken Braai Pack 5kg,R244.99,Smart Price: R188.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h02/h7f/11033435078686/silo-product-image-v2-30Nov2022-180147-6001007325749-Straight_on-75483-2119_300Wx300H
Flora Light 40% Fat Spread 1kg,R66.99,Smart Price: R56.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h3e/h24/11120784506910/silo-product-image-v2-16Mar2023-181103-6009710390146-Straight_on-116131-2174_300Wx300H
Parmalat Cheddar 850g,R155.00,Smart Price: R109.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hbf/h1c/11122565283870/silo-product-image-v2-16Mar2023-182152-6001049023405-Straight_on-120998-5000_300Wx300H
Smirnoff 1818 Round Vodka 750ml,R174.99,Smart Price: R154.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hb5/haf/10989629669406/silo-product-image-v2-21Oct2022-180254-6001398119545-Straight_on-67026-1664_300Wx300H
Tall Horse Merlot 750ml,R60.00,Smart Price: R50.00,https://cdn-prd-02.pnp.co.za/sys-master/images/h41/hee/11127810719774/silo-product-image-v2-16Mar2023-185744-663194000388-Straight_on-87847-13512_300Wx300H
Colgate Maximum Cavity Protection Regular Toothpaste 100ml,R26.99,Smart Price: R20.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h3a/hf6/10999766286366/silo-product-image-v2-01Nov2022-180128-6001067066613-Straight_on-68467-344_300Wx300H
Jungle Oats 1kg,R46.99,Smart Price: R37.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h04/h9d/11125546156062/silo-product-image-v2-16Mar2023-184402-6001275000003-Straight_on-123678-9912_300Wx300H
