Name,Price,Discount,image Link
Ritebrand Sunflower Seed Oil 750g,R29.99,R29.99,/medias/lqi-10141753EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNzM3fGltYWdlL3BuZ3xpbWFnZXMvaGM5L2gzZi85MDk5NTc0ODcwMDQ2LnBuZ3w4MGY2NDRhNmVkNmUzMmNiZDViMmRjMGE2ODZlNGUzMjRlZmUzZmE1NzQ4NzQ5ODg1Mzg4NGE0YzlhZDUwYTEz
Sunfoil Pure Sunflower Seed Oil 750ml,R38.99,R38.99,/medias/lqi-10130356EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNjQ4fGltYWdlL3BuZ3xpbWFnZXMvaDI0L2hlNi8xMDI0ODU4Njk4NTUwMi5wbmd8ZjJjNWQ2ODNlYjM3OWE1M2FmYjBlYTY3ZWU5ZjJmNjgzNTA3ZmU3NmY4MTY3NDMzNjkyNWJkYjg1NDQyNDI0NQ
Ritebrand Long Life Full Cream Milk 6 x 1L,R89.99,R89.99,/medias/lqi-10156109PK1-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNTExfGltYWdlL3BuZ3xpbWFnZXMvaDI3L2gzZi85MTA2NTUyMzI0MTI2LnBuZ3xlNmEzMDFhYzQ0NTI4NTM0NmQzZDJjODczMzBjNjMxNDQzYWYwZGFiN2RjYjVlN2Y0N2RkMTI3YmY4Yjc1ZmU5
Tait's Cheese & Onion Chips 125g,R15.99,R15.99,/medias/lqi-10344641EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyOTY5fGltYWdlL3BuZ3xpbWFnZXMvaDM3L2hiMS85MDg0MjE2ODY4ODk0LnBuZ3xmMDdmOWQ0NzYyNzQ1YzBkMzkxNzU5Y2VmNWQ1NjM4NmM4ZjcyMmNkYTA2YTQwZWY3YThjZjNlY2ExM2E0NTU2
Ellis Brown Coffee Creamer 750g,R48.99,R48.99,/medias/lqi-10700476EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNzM1fGltYWdlL3BuZ3xpbWFnZXMvaGNhL2hjZi85MDk0OTg1MDg5MDU0LnBuZ3w5MTRhYTRjNGYwYTcyYmQxNmIzMTBjNGMyZDA3MmZiYTEwNDA2NzcxMjM5MDQ3OTk2NzliNjYzMDlkZmE5ZjI1
Ritebrand Medium Fat Bread Spread Brick 500g,R13.99,R13.99,/medias/lqi-10126097EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzE3fGltYWdlL3BuZ3xpbWFnZXMvaDI5L2g1NC85MTA0NzQ1NzkxNTE4LnBuZ3xmNzIxYTFmZGU4Zjc1Y2FlNDgwNTk2YWZlY2NlOWY2MzAyY2Q5OTMzNzI5YmQ5ZWVmZjdhZDlhZDRhYTE4ZTEz
Tait's Smoked Beef Chips 125g,R15.99,R15.99,/medias/lqi-10344640EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzMDAwfGltYWdlL3BuZ3xpbWFnZXMvaDUwL2hlYi85MDg0MTcxNzgwMTI2LnBuZ3wyZjc2NTE1M2ZlY2M2MjhlOWM3Yjc5MDBlOWI1ZDJjZDlkYjlhNjA2Y2YyNTJlYTQ3YzNlMmEwYjk4Mzc2MGNh
Ritebrand Medium Grain Parboiled White Rice 2kg,R24.99,R24.99,/medias/lqi-10130255EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNTcxfGltYWdlL3BuZ3xpbWFnZXMvaDJkL2g3Zi8xMDA5OTYyNzUyNDEyNi5wbmd8OTRkNzdjYzYzMjIyYzA0ZjBjNjNjMTExMGE5ZjJkNzhiNWRiMmY1NmY4MWRiMTRmN2YxZjYzMWFiMDIwYjM3Mw
Messaris Bubbles Cheese Flavoured Maize Snack 100g,R9.99,R9.99,/medias/lqi-10534522EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNDM4fGltYWdlL3BuZ3xpbWFnZXMvaGRiL2g5MC85MDg2MjEzMDI5OTE4LnBuZ3w3ODliNWQwNjI2ODdmYzFmNWM4M2EzNjEzODRlYTc1NmZhMjg3NzliZWU5MTkxZDQ1YTcxMWE2YjllNzk3OTVh
Iwisa Super Maize Meal Bag 2.5kg,R35.99,R35.99,/medias/lqi-10142227EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzUzfGltYWdlL3BuZ3xpbWFnZXMvaDliL2g2NS85NzQ2ODIwMzk5MTM0LnBuZ3wwN2VmOWE5Y2M1M2RlYjBjMWZiNGMwNzRlZWUxYzQ5YTUzZTU2MmQyMWQ1NjNmYzNjZjI0OTFjM2NiODkyMTll
